en,te
Is it true that Tom can't see very well out of his left eye?,టామ్ తన ఎడమ కన్నుతో బాగా చూడలేడు అనేది నిజం?
I don't think that Tom knows the rules yet.,టామ్ ఇంకా నియమాలను తెలుసునని నేను అనుకోను.
I like your apartment.,నేను మీ అపార్ట్మెంట్ ఇష్టం.
Would you like a glass of water?,మీరు ఒక గాజు నీరు కావాలా?
The computer is broken.,కంప్యూటర్ విచ్ఛిన్నమైంది.
Tom doesn't like competition.,టోమ్ పోటీని ఇష్టపడలేదు.
Why pay when you can get it for free?,మీరు ఉచితంగా పొందవచ్చు ఉన్నప్పుడు ఎందుకు చెల్లించాలి?
Tom asked Mary to wait for him here.,టోమ్ మేరీని ఇక్కడే వేచి ఉండమని కోరాడు.
What does this machine do exactly?,ఈ యంత్రం సరిగ్గా ఏమి చేస్తుంది?
"I admit, I'm not the tidiest person in the world.","నేను ఒప్పుకుంటాను, నేను ప్రపంచంలో ఉత్తమ వ్యక్తి కాదు."
Where do I sign up?,నేను ఎక్కడ నమోదు చేయాలి?
I really liked the movie.,నేను నిజంగా సినిమా ఇష్టపడ్డారు.
Tom is the only person Mary says she can trust.,మేరీ ఆమెను విశ్వసించగలనని చెప్పిన ఏకైక వ్యక్తి టోమ్.
Tell Tom that I'll prune his trees for him.,నేను అతని చెట్లను కత్తిరించేవాడిని అని టామ్కు చెప్పండి.
I'd like to ask you for some advice.,నేను మీరు కొన్ని సలహా అడగండి అనుకుంటున్నారా.
Can you imagine what life would be like without television?,టెలివిజన్ లేకుండా జీవితం ఎలా ఉంటుందో ఊహించగలరా?
There was a tall tree in front of my house.,నా ఇంటి ముందు ఒక పొడవైన చెట్టు ఉంది.
Should I quit my job?,నేను నా ఉద్యోగం వదిలి ఉండాలి?
I wish I had Tom's brains.,నేను టామ్ యొక్క మెదడు కలిగి ఉంటే అనుకుంటున్నారా.
Didn't you know that Tom and I needed to do that?,టామ్ మరియు నేను అలా చేయాల్సిన అవసరం ఉందని మీకు తెలుసా?
We've been looking for you everywhere.,మేము మీరు ప్రతిచోటా వెతుకుతున్న చేశారు.
I want you to put out that cigarette.,నేను మీరు ఆ సిగరెట్ ఆఫ్ చెయ్యాలని అనుకుంటున్నాను.
Tom asked Mary what was wrong.,ఏం తప్పు అని టోమ్ మేరీని అడిగాడు.
I used to cry a lot.,నేను చాలా ఏడుస్తాను.
There isn't anywhere else to park.,పార్కింగ్ కోసం వేరే చోటు లేదు.
He is no ordinary man.,అతను ఒక సాధారణ వ్యక్తి కాదు.
He can touch his nose with his tongue.,అతను తన నాలుకతో తన ముక్కు తాకే చేయవచ్చు.
"If he's still alive, he'd be very old by now.","అతను ఇప్పటికీ సజీవంగా ఉంటే, అతను ఇప్పుడు చాలా పాత ఉంటుంది."
Tom wanted me to help him.,నేను అతనికి సహాయం చేయాలనుకున్నాను.
Does Tom speak French better than Mary?,టోమ్ మేరీ కంటే ఎక్కువ ఫ్రెంచ్ మాట్లాడగలడా?
They'll kill me.,వారు నన్ను చంపడానికి ఉంటుంది.
Tom is stuck.,టామ్ చిక్కుకున్నాడు.
How does he do this?,అతను ఎలా ఈ చేస్తుంది?
Tom put his shirt on a hanger.,టోమ్ తన చొక్కాను హేంగర్ మీద పెట్టాడు.
I love making desserts.,నేను డెజర్ట్ తయారు ప్రేమ.
That sounded weird.,ఇది వింత అనిపించింది.
It could be a weapon.,ఇది ఒక ఆయుధం కావచ్చు.
I think you know what I'm talking about.,నేను ఏమి మాట్లాడుతున్నానో మీకు తెలుసు.
Where is your brother?,మీ సోదరుడు ఎక్కడ ఉంది?
What were we thinking?,మేము ఏమి ఆలోచిస్తున్నారో?
A nod is as good as a wink to a blind horse.,ఇది ఒక బ్లైండ్ గుర్రం కళ్ళు మూసివేయడం వంటి మంచి ఉంది.
Tom was home on Monday.,సోమవారం టోమ్ ఇంటికి వచ్చాడు.
She wanted him to say that he loved her.,ఆమె అతను ఆమె ప్రేమ అని అతనికి చెప్పాలని కోరుకున్నాడు.
Could you excuse us a sec?,మీరు మాకు ఒక క్షణం మన్నించండి?
He goes fishing every other day.,అతను ప్రతి రోజు ఫిషింగ్ వెళ్తాడు.
Tom doesn't want to leave.,టామ్ వెళ్లాలని అనుకోలేదు.
I'll miss everyone.,నేను వాటిని అన్ని కోల్పోతారు.
The customer agrees.,కస్టమర్ అంగీకరిస్తుంది.
I am working on my new book.,నేను నా కొత్త పుస్తకం పని చేస్తున్నాను.
It caught my eye.,ఇది నా దృష్టిని ఆకర్షించింది.
I won't let anybody hurt you.,ఎవరూ మీరు గాయపడిన వీలు కాదు.
Tom gave a famous singer ten thousand dollars to come to the restaurant to sing Happy Birthday.,టామ్ ఒక ప్రసిద్ధ గాయకుడికి పదివేల డాలర్లు ఇచ్చాడు మరియు హ్యాపీ బర్త్ డే పాడటానికి రెస్టారెంట్కు వచ్చాడు.
We're at home today.,మేము నేడు ఇంటికి వచ్చారు.
This isn't for sale.,ఇది అమ్మకానికి కాదు.
Tom heard everything they said.,వారు చెప్పిన ప్రతిదాన్ని టామ్ విన్నాడు.
Tom's career is over.,టామ్ యొక్క కెరీర్ ముగిసింది.
Tom is sleeping in the living room.,టామ్ గదిలో పడుకున్నాడు.
It started as a hobby.,ఇది ఒక అభిరుచిగా ప్రారంభమైంది.
Where were you yesterday?,మీరు నిన్న ఎక్కడ ఉన్నారు?
We have don't get many opportunities to speak French.,ఫ్రెంచ్ మాట్లాడటానికి మాకు చాలా అవకాశాలు రాలేదు.
Check it again.,మళ్ళీ తనిఖీ.
You were my inspiration.,మీరు నా ప్రేరణ.
I need to know who Tom is.,నేను టోమ్ ఎవరు తెలుసుకోవాలి.
"These aren't yours, are they?",ఇవి మీదేనా?
The tea is very tasty.,టీ చాలా రుచికరమైన ఉంది.
The burglar came into the house through this door.,దొంగ ఈ తలుపు ద్వారా ఇంటికి వచ్చింది.
Tom likes watching action movies.,టామ్ యాక్షన్ సినిమాలు చూడటానికి ఇష్టపడుతుంది.
She's the French ambassador to Portugal.,ఆమె పోర్చుగల్లో ఫ్రెంచ్ రాయబారి.
Tom did what he promised he'd do.,టోమ్ వాగ్దానం చేసినట్లు చేశాడు.
I don't want to break your heart.,నేను మీ గుండె విచ్ఛిన్నం చేయాలనుకోవడం లేదు.
I want to be ready for anything.,నేను ఏదైనా కోసం సిద్ధంగా ఉండాలనుకుంటున్నాను.
Tom and I aren't afraid.,టామ్ మరియు నేను భయపడము.
Tom and I both live and work in Australia.,టామ్ మరియు నేను ఇద్దరూ ఆస్ట్రేలియాలో నివసిస్తున్నారు మరియు పని చేస్తున్నారు.
The water was ice cold.,నీరు మంచు చల్లగా ఉంది.
Do you do anything else?,మీరు వేరే ఏదైనా చేస్తారా?
Tom pointed to his chest.,టోమ్ తన ఛాతీ వైపు చూపాడు.
They were silent.,వారు నిశ్శబ్దంగా ఉన్నారు.
I didn't know you'd be jealous.,మీరు అసూయ ఉన్నాయి తెలియదు.
We stayed behind to help Tom.,మేము టోమ్కు సహాయం చేయడానికి వెనుకకు నిలబడ్డాము.
Don't meddle in my affairs.,నా వ్యవహారాల్లో జోక్యం చేసుకోకండి.
They're all equal.,వీరంతా సమానమే.
Tom continued digging.,టామ్ త్రవ్వడం కొనసాగించాడు.
It's doubtful that anything will grow here.,ఇక్కడ ఏదో పెరుగుతుందని ఎటువంటి సందేహం లేదు.
I know that this is important to you.,ఇది మీకు ముఖ్యమైనదని నాకు తెలుసు.
My house is on the outskirts of town.,నా ఇల్లు పట్టణం శివార్లలో ఉంది.
It's time to get up.,ఇది అప్ పొందడానికి సమయం.
Mary is a brave woman.,మేరీ ధైర్యంగా ఉంది.
Why didn't you tell us there was a witness?,ఎందుకు మీరు మాకు ఒక సాక్షి ఉంది చెప్పలేదు?
Is that your idea?,ఇది మీ ఆలోచన?
Why are you yawning?,ఎందుకు మీరు ఏడుస్తున్నారు?
School begins in April.,పాఠశాల ఏప్రిల్లో ప్రారంభమవుతుంది.
Is it OK if I eat one of these apples?,నేను ఈ ఆపిల్ ఒకటి తినడానికి ఉంటే అది సరే?
Look straight ahead.,నేరుగా ముందుకు చూడండి.
That result was predictable.,ఫలితం ఊహించదగ్గది.
I didn't know you were going to be there.,మీరు అక్కడ ఉండబోతున్నారని నేను తెలియదు.
I'll phone you as soon as I get to the airport.,నేను విమానాశ్రయానికి వచ్చిన వెంటనే మీకు కాల్ చేస్తాను.
That's a stupid rule.,ఇది ఒక తెలివితక్కువ నియమం.
I can't let you do this.,నేను మీరు దీన్ని అనుమతించలేము.
We started to walk.,మేము నడవడం ప్రారంభించాము.
It's an illusion.,ఇది ఒక భ్రమ.
I have a few minutes.,నేను కొన్ని నిమిషాలు కలిగి.
Tom is still an amateur.,టామ్ ఇప్పటికీ ఔత్సాహికుడు.
The plank froze to the ground.,బోర్డు భూమికి స్తంభింపచేసింది.
He is capable of teaching French.,అతను ఫ్రెంచ్ బోధించే సామర్థ్యం ఉంది.
This street used to have another name.,ఈ వీధికి వేరే పేరు ఉంది.
I'm wasting my time.,నేను నా సమయం వృధా.
Let's forget it.,ఆ గురించి మర్చిపోతే లెట్.
Where can I exchange foreign currency?,నేను విదేశీ కరెన్సీని ఎక్కడ మార్పిడి చేసుకోగలను?
I thought I heard you.,నేను మీరు విన్నాను.
Tom's paralyzed.,టామ్ మంచుతో ఉన్నాడు.
Do you know this part of the city very well?,మీరు నగరం యొక్క ఈ భాగం బాగా తెలుసు?
I closed the door.,నేను తలుపు లాక్.
The girl I wanted to marry married somebody else.,నేను పెళ్లి చేసుకోవాలనుకున్న అమ్మాయి వేరొకరితో వివాహం చేసుకుంది.
Tom switched off the dryer.,టామ్ డ్రైయర్ను ఆపివేసాడు.
Do you remember what time Tom said he'd be here?,టోమ్ తాను ఇక్కడ ఉంటానని చెప్పినప్పుడు మీకు గుర్తుందా?
Tom has always wanted to study French.,టోమ్ ఎప్పుడూ ఫ్రెంచ్ నేర్చుకోవాలనుకున్నాడు.
She wrapped her arms around his neck.,ఆమె అతని చేతులు అతని మెడ చుట్టూ చుట్టి.
I want you to take me to Tom.,మీరు నన్ను టోమ్ దగ్గరకు తీసుకెళ్లండి.
Tom couldn't wait until the weekend.,టోమ్ వారాంతం వరకు వేచి ఉండలేడు.
Tom will unlikely win today.,టోమ్ ఈ రోజు గెలవలేడు.
Let's do what Tom wants us to do.,"టామ్, మనం చేయాలనుకున్నది చేద్దాం."
"If Tom is happy, I'm happy.","టామ్ సంతోషంగా ఉంటే, నేను సంతోషంగా ఉన్నాను."
Tom knew that Mary was awake.,మేరీ మేల్కొని ఉన్నాడని టామ్కు తెలుసు.
Almost no one thinks that we are sisters.,దాదాపు ఎవరూ మేము సోదరీమణులు అనుకుంటున్నాను.
Tom married a girl much younger than himself.,టోమ్ తన కంటే చాలా చిన్న అమ్మాయిని వివాహం చేసుకున్నాడు.
I recognized him immediately.,నేను వెంటనే అతన్ని గుర్తించాను.
I don't remember mailing the letter.,నేను ఒక లేఖ పంపడం గుర్తు లేదు.
Tom locked his doors.,టోమ్ తన తలుపులు లాక్.
I want another beer.,నేను మరొక బీరు కావాలి.
What do I have to say to convince you?,నేను మీరు ఒప్పించేందుకు ఏమి చెప్పగలను?
I know how it feels.,ఇది ఎలా అనిపిస్తుంది నాకు తెలుసు.
There is probably an easy solution to the problem.,బహుశా సమస్యకు సులభమైన పరిష్కారం ఉంది.
The milk tastes sour.,పాలు పిండి రుచి వంటిది.
The result will satisfy him.,ఫలితం అతనికి సంతృప్తి కలుగుతుంది.
You recovered quickly.,మీరు త్వరగా కోలుకున్నారు.
What should I tell Tom?,నేను టామ్కు ఏమి చెప్పాలి?
Tom thought that Mary was John's sister.,టోమ్ మేరీ జాన్ సోదరి అని అనుకున్నాడు.
"She is from Hokkaido, but is now living in Tokyo.","ఆమె హక్కైడో నుండి, కానీ ఇప్పుడు టోక్యోలో నివసిస్తుంది."
You're not like everyone else.,మీరు ఇతరులు వంటి కాదు.
I thought that Tom was guilty.,నేను టామ్ అపరాధి అని అనుకున్నాను.
Why didn't Tom tell us?,టామ్ మాకు ఎందుకు చెప్పలేదు?
Why didn't you say goodbye?,ఎందుకు మీరు వీడ్కోలు చెప్పలేదు?
Please show me how to do that.,దయచేసి నాకు ఎలా చేయాలో చూపించు.
Tom plays the piano very well.,టామ్ బాగా పియానో ఆడాడు.
My aunt had three kids.,నా అత్తకు ముగ్గురు పిల్లలు ఉన్నారు.
Tom isn't my uncle.,టామ్ నా అత్త కాదు.
Tom was the one who got punished.,టోమ్ శిక్ష అనుభవించిన వ్యక్తి.
"I'm sorry, but could you move over a bit so I have room to sit?","క్షమించండి, కానీ మీరు ముందుకు కొద్దిగా సమయం తరలించవచ్చు, మీరు కూర్చుని గది కలిగి?"
School was cancelled because of the snow.,మంచు కారణంగా పాఠశాల రద్దు చేయబడింది.
Tom isn't used to city life.,టోమ్ నగర జీవితంకి అలవాటు పడలేదు.
Tom didn't say how he planned to get there.,అక్కడ ఎలా చేరుకోవాలో టామ్ ప్లాన్ చేయలేదు.
"If Tom wasn't so stupid, he would've understood quicker.","టామ్ అంత మూర్ఖుడు కాకపోతే, అతను త్వరగా అర్థం చేసుకుంటాడు."
She is learning how to drive a car.,ఆమె కారు డ్రైవింగ్ నేర్చుకుంటుంది.
Please don't tell anyone I did that.,నేను చేసిన ఎవరికీ చెప్పవద్దు.
I have terrible handwriting.,నా చేతిపని భయంకరమైన ఉంది.
Tom has never driven a car before.,టామ్ ఇంతకు ముందు కారును ఎప్పుడూ డ్రైవ్ చేయలేదు.
No one's hungry.,ఎవరూ ఆకలితో ఉన్నారు.
I am a monk.,నేను ఒక సన్యాసిని.
I wonder if Tom has ever been to Boston.,టామ్ ఎప్పుడైనా బోస్టన్ వెళ్లినా అని నేను ఆశ్చర్యపోతున్నాను.
We shouldn't have bought this car.,మేము ఈ కారు కొనుగోలు చేయకూడదు.
What is your greatest strength?,మీ గొప్ప బలము ఏమిటి?
Tom is on Mary's side.,టోమ్ మేరీ వైపు ఉన్నాడు.
Tom doesn't feel like doing that now.,టామ్ ఆ పని చేయడం లేదు.
I don't feel like working today.,నేను పని అనుకుంటున్నారా లేదు నేడు.
Tom didn't notice the change.,టోమ్ మార్పు గమనించలేదు.
It's not too hard.,ఇది అంత కష్టం కాదు.
Evil sometimes wins.,కొన్నిసార్లు చెడు గెలుచుకుంటుంది.
I'm sure it'll pass.,ఇది పాస్ ఉంటుంది నేను ఖచ్చితంగా ఉన్నాను.
They might not notice that Tom isn't here.,వారు టామ్ ఇక్కడ లేడని గమనించకపోవచ్చు.
Tom put the kids to bed.,టోమ్ పిల్లలను మంచానికి పంపాడు.
"Hey, get your hands off me.","హే, మీ చేతులు నా నుండి దూరంగా."
I knew you wouldn't want to go with us.,మీరు మాతో రావాలని లేదు తెలుసు.
They're green.,వారు ఆకుపచ్చ ఉన్నాయి.
I didn't eat anything else.,నేను వేరే ఏమీ తినలేదు.
Why did you want to speak to me?,ఎందుకు మీరు నాతో మాట్లాడాలనుకున్నారు?
I'm afraid I'll be a burden to you.,నేను మీ మీద భారం వేసినట్లు భయపడుతున్నాను.
Tom speaks French better than Mary does.,టోమ్ మేరీ కంటే ఫ్రెంచ్ బాగా మాట్లాడుతుంది.
Tom will always remember Mary.,టోమ్ ఎల్లప్పుడూ మేరీని గుర్తుంచుకుంటాడు.
"I saw Tom sitting at the bar alone, drinking wine.",నేను టామ్ను బార్ వద్ద ఒంటరిగా కూర్చుని వైన్ తాగుతున్నట్లు చూశాను.
Tom was obviously scared.,టామ్ స్పష్టంగా భయపడ్డాడు.
Please do something about it.,దయచేసి దాని గురించి ఏదో చేయండి.
Some boys came into the classroom.,కొందరు అబ్బాయిలు తరగతి గదిలోకి వచ్చారు.
Take over.,తీసుకోండి.
Do you have a birthmark?,మీరు ఒక పుట్టిన గుర్తు కలిగి?
I behaved myself.,నేను నటించాను.
Tom is here with me now.,ఇప్పుడు టోమ్ నాతో ఉన్నాడు.
Tom wasn't working for me.,టోమ్ నా కోసం పని చేయలేదు.
Tom didn't even know who Mary was.,టామ్ మేరీ ఎవ్వరినీ తెలియదు.
I don't think I impressed Tom.,నేను టామ్తో ఆకట్టుకున్నాను.
Tom has gone away.,టామ్ వెళ్లిపోయాడు.
You must clear the table.,మీరు పట్టిక క్లియర్ చేయాలి.
I'm glad Tom helped us.,మాకు టోమ్ సహాయం చేసినందుకు నేను సంతోషిస్తున్నాను.
This doesn't happen very often.,ఇది చాలా తరచుగా జరగదు.
Tom told me that he was at school.,టోమ్ అతను పాఠశాలలో ఉన్నాడని చెప్పాడు.
I didn't receive any notice.,నేను నోటీసు రాలేదు.
I hate this game.,నేను ఈ ఆట ద్వేషిస్తున్నాను.
It's always darkest before the dawn.,ఇది ఎల్లప్పుడూ ఉదయం ముందు చీకటి.
I will win the game next time.,నేను తదుపరిసారి ఆట గెలుచుకున్న కాదు.
Tom told me that he'd be home on Monday.,సోమవారం ఇంటికి వస్తాడని టామ్ చెప్పాడు.
Tom's death was mysterious.,టోమ్ మరణం ఒక రహస్యమైనది.
There's not enough time to eat now.,ఇప్పుడు తినడానికి తగినంత సమయం లేదు.
She wrote the book about people she visited.,ఆమె సందర్శించిన వ్యక్తుల గురించి ఒక పుస్తకం రాసింది.
I like your work.,నేను మీ పని ప్రేమ.
I want to date other women.,నేను ఇతర మహిళలు డేట్ అనుకుంటున్నారా.
I don't think that it means anything.,ఇది ఏదైనా అర్థం లేదు అని నేను అనుకుంటున్నాను.
They say that Isabela died.,వారు ఇసాబెల్లా చనిపోయిన చెప్పారు.
I never liked Christmas.,నేను ఎప్పుడూ క్రిస్మస్ ఇష్టం లేదు.
I've never been to Australia.,నేను ఆస్ట్రేలియాలో ఎప్పుడూ లేను.
Tom was smart enough to escape.,టామ్ తప్పించుకోవడానికి తగినంత తెలివిగా ఉన్నాడు.
I know you hate it.,నేను మీరు ద్వేషం తెలుసు.
All the children like you.,అన్ని పిల్లలు మీరు వంటి.
The automobile stopped.,కారు ఆగిపోయింది.
Why don't we have dinner?,ఎందుకు మేము ఒక విందు లేదు?
"A group of foreigners arrived in Edo, in other words Tokyo.","ఒక సమూహం విదేశీయులు ఎడో వచ్చారు, ఇతర మాటలలో, టోక్యో."
Tom and I have nothing to hide.,టామ్ మరియు నాకు దాచడానికి ఏమీ లేదు.
I feel very guilty.,నేను చాలా నేరాన్ని భావిస్తున్నాను.
Tom is loyal to his wife.,టోమ్ తన భార్యకు నమ్మకమైనవాడు.
Our next meeting will be held next on October 20th.,మా తదుపరి సమావేశం అక్టోబర్ 20న జరుగుతుంది.
We've all seen that before.,మేము అన్ని ముందు చూసిన.
Nobody complained.,ఎవరూ ఫిర్యాదు చేయలేదు.
I'm not strong enough to do that.,నేను అలా చేయటానికి తగినంత బలంగా లేను.
Tom fell through the ice.,టోమ్ మంచు ద్వారా పడిపోయాడు.
Tom is doing an exemplary job.,టామ్ ఒక ఉదాహరణ ఉద్యోగం చేస్తోంది.
Was Tom the one who told you to do that?,ఆ పని చేయమని టామ్ నీకు చెప్పాడా?
Don't panic!,భయపడకు!
Where did you get your camera repaired?,మీరు మీ కెమెరా మరమ్మతు ఎక్కడ పొందారు?
I have news about Tom.,నాకు టోమ్ గురించి వార్తలు ఉన్నాయి.
How about going out for lunch?,ఎలా బయటకు తినడానికి పొందడానికి?
"You always talk back to me, don't you?","మీరు ఎల్లప్పుడూ నాకు స్పందించడం, మీరు కాదు?"
I used to be poor like you.,నేను మీలాగే పేదవాడిని.
I got a smooth shave.,నేను ఒక మృదువైన గ్లూ కలిగి.
Tom pocketed the money.,టోమ్ తన జేబులో డబ్బు పెట్టాడు.
Take this chair. It's sturdy.,ఈ కుర్చీ తీసుకోండి.
How often do you take a shower?,మీరు ఎంత తరచుగా స్నానం చేస్తారు?
I'd like to introduce Tom to Mary.,నేను టోమ్ను మేరీకి పరిచయం చేయాలనుకుంటున్నాను.
She is anxious about your health.,ఆమె మీ ఆరోగ్యం గురించి ఆందోళన చెందుతుంది.
I want to wash my hair.,నేను నా జుట్టు కడగడం అవసరం.
Tom was hoping that he could help Mary.,టోమ్ మేరీకి సహాయం చేయగలనని ఆశిస్తాడు.
Look what you've done to me.,మీరు నాకు ఏమి చేసిన చూడండి.
It's here.,ఇది ఉంది.
I must buy a new pair of shoes.,నేను ఒక కొత్త జత బూట్లు కొనుగోలు చేయాలి.
Thousands of homes were destroyed.,వేలాది ఇళ్ళు నాశనం అయ్యాయి.
I see the dog.,నేను కుక్క చూడటానికి వెళ్తాను.
I wasn't able to find Tom anywhere.,నేను ఎక్కడైనా టోమ్ను కనుగొనలేకపోయాను.
Everybody knew that she was being pushy.,ఆమె ఒత్తిడితో మారుతోంది అందరికీ తెలుసు.
"A mile is about 1,600 meters.",ఒక మైలు 1600 మీటర్లు.
You were almost in time.,మీరు దాదాపు సమయం లో.
Has Tom officially retired?,టామ్ అధికారికంగా పదవీ విరమణ చేసారా?
Tom has a secret room in his house.,టోమ్ తన ఇంట్లో ఒక రహస్య గది ఉంది.
Several ships are stuck in sea ice in Antarctica.,అంటార్కిటికాలో సముద్ర మంచులో అనేక నౌకలు చిక్కుకున్నాయి.
He's a weird guy.,అతను ఒక వింత వ్యక్తి.
"It was inevitable, wasn't it?","ఇది తప్పనిసరి, అది కాదు?"
We're running short of food.,మనం ఆహార కొరతతో ఉన్నాం.
I like honey.,నేను తేనె ఇష్టం.
It's not serious.,ఇది తీవ్రమైన కాదు.
They are bound together by common interests.,వారు ఉమ్మడి ప్రయోజనాల పట్ల నిబద్ధత చూపుతున్నారు.
The police lowered their weapons.,పోలీసులు వారి ఆయుధాలు డౌన్ డౌన్.
You can't be so sure.,మీరు చాలా ఖచ్చితంగా కాదు.
I hope you and Tom will have a good time.,మీరు మరియు టామ్ మంచి సమయం గడపాలని నేను ఆశిస్తున్నాను.
They took Tom to the hospital to have his stomach pumped because he ate something poisonous.,వారు టామ్ను తన కడుపును పంపుటకు ఆసుపత్రికి తీసుకువెళ్ళారు ఎందుకంటే అతను విషపూరితమైన ఏదో తిన్నాడు.
What would you do in my position?,నా స్థానంలో మీరు ఏమి చేస్తారు?
You could invite me.,మీరు నన్ను ఆహ్వానించవచ్చు.
"Hopefully, we'll see Tom today.",ఈ రోజు మనం టోమ్ను చూస్తాము.
I'm in the eleventh grade.,నేను పదకొండవ తరగతి లో ఉన్నాను.
The sea gulls are flying low.,సముద్ర తరంగాలు తక్కువ ఎగురుతున్నాయి.
Her nails are red.,ఆమె గోర్లు ఎరుపు.
It had to be you.,ఇది మీరు ఉండాలి.
Tom didn't know what Mary needed to do.,మేరీ ఏం చేయబోతోందో టామ్కు తెలియదు.
I'm not going to tell Tom anything.,నేను టోమ్కు ఏమీ చెప్పను.
I thought Tom and Mary were married.,టామ్ మరియు మేరీ వివాహం చేసుకున్నారని నేను అనుకున్నాను.
I was tired and so was everybody else.,నేను అలసిపోయాను మరియు ఇతరులు ఉన్నారు.
I wanted you to know.,నేను మీరు తెలుసుకోవాలనుకున్నాను.
I wonder whether or not Tom likes Boston.,టోమ్ బోస్టన్ ఇష్టపడుతుందా లేదా అని నేను ఆశ్చర్యపోతున్నాను.
You're the perfect girlfriend.,మీరు పరిపూర్ణ స్నేహితుడు.
Tom couldn't believe that someone wanted to kill him.,ఎవరైనా అతన్ని చంపాలని కోరుకున్నారని టోమ్ నమ్మలేకపోయాడు.
Tom hit the ball so hard he split the bat.,"టామ్ బంతిని హార్డ్ కొట్టాడు, అతను బ్యాట్ను విభజించాడు."
Father usually comes home at eight.,తండ్రి సాధారణంగా ఎనిమిది గంటలకు ఇంటికి వస్తాడు.
Tom has earned a lot of money.,టోమ్ చాలా డబ్బు సంపాదించాడు.
The group was made up of four young men.,ఈ బృందం నలుగురు యువకుల నుంచే ఏర్పడుతుంది.
Both spellings are correct.,రెండు స్పెల్లింగ్లు సరైనవి.
Did Tom tell you he's studying French?,అతను ఫ్రెంచ్ నేర్చుకుంటున్నాడని టామ్ మీకు చెప్పాడు?
I didn't think Tom was going to be here.,టోమ్ ఇక్కడ ఉంటాడని నేను అనుకోలేదు.
I'm not telling you his name.,నేను అతని పేరు చెప్పడం లేదు.
Is it cheaper to call after nine?,తొమ్మిది తర్వాత కాల్ చేయడం చౌకగా ఉందా?
That's a nice thought.,ఇది ఒక మంచి ఆలోచన.
Tom is the first guy Mary has really been interested in since she broke up with John.,జాన్ జాన్తో విడిపోయినప్పటి నుండి మేరీపై నిజంగా ఆసక్తి చూపిన మొదటి వ్యక్తి టామ్.
I haven't accomplished anything yet.,నేను ఇంకా ఏమీ సాధించలేదు.
Tom said Mary was quite heavy.,టామ్ మేరీ చాలా భారీగా ఉంది.
Put out your cigarettes.,మీ సిగరెట్స్ ఆఫ్.
It isn't big.,ఇది పెద్దది కాదు.
Tom is a schemer.,టామ్ ఒక ప్లాన్ చేసేవారిని.
Stop acting like such a fool.,అలాంటి ఒక మూర్ఖుడు వంటి ప్రవర్తన ఆపడానికి.
We've been helping Tom.,మేము టామ్కు సహాయం చేస్తున్నాము.
Can you tell us what it is?,ఇది ఏమిటి మీరు మాకు చెప్పగలరా?
I don't like being treated like a child.,నేను ఒక పిల్లవాడు ఉండటానికి ఇష్టం లేదు.
I need to go to the bank.,నేను బ్యాంకు వెళ్ళాలి.
His death was a great loss to our country.,అతని మరణం మన దేశానికి గొప్ప నష్టం.
We go fishing together once in a while.,మేము కలిసి ఫిషింగ్ వెళ్తుంది ఏదో ఒక సమయంలో.
How do you feel now?,ఇప్పుడు మీరు ఎలా భావిస్తున్నారు?
playing with fire,అగ్నితో ఆడటం
Position,స్థానం
It is my strict warning.,ఇది నా కఠినమైన హెచ్చరిక.
I am coming from Ahmedabad,నేను అహ్మదాబాద్ నుండి
Gangadhar lives with his family.,గంగా ధార్ తన కుటుంబంతో ఉన్నారు.
"Cloudy, rainy,sunny","మేఘాలు, వర్షం, సూర్యరశ్మి"
Available,అందుబాటులో ఉంది
great movie,ఒక గొప్ప చిత్రం
singers,గాయకులు
It can enhance creativity by encouraging players to think outside the box and explore different strategies and ideas.,ఇది ఆటగాళ్లను బాక్స్ వెలుపల ఆలోచించడానికి మరియు వివిధ వ్యూహాలు మరియు ఆలోచనలను అన్వేషించడానికి ప్రోత్సహించడం ద్వారా సృజనాత్మకతను పెంచుతుంది.
Delhi has great historical significance as it was home to powerful people,"శక్తివంతమైన ప్రజల నివాసం, ఢిల్లీకి గొప్ప చారిత్రక ప్రాముఖ్యత ఉంది"
We drank a lot of coffee.,మేము చాలా కాఫీ తాగుతూ.
We'll stay and fight.,మేము నిలబడి పోరాడటానికి ఉంటుంది.
Tom sent Mary to summer camp.,టోమ్ మేరీని వేసవి శిబిరానికి పంపాడు.
I don't have a Twitter account.,నాకు ట్విట్టర్ ఖాతా లేదు.
You know I love you!,నేను నిన్ను ప్రేమిస్తున్నాను తెలుసు!
I'm getting bored.,నేను విసుగు.
It's a pity that I have no ear for music.,నాకు సంగీతం కోసం చెవి లేదు.
It must've been terrible.,ఇది భయంకరమైన ఉంది.
How's your day going?,మీ రోజు ఎలా ఉంది?
Her predictions have come true.,ఆమె అంచనాలు నిజమయ్యాయి.
Don't stare at people.,ఇతరులను ఒకే విధంగా చూడవద్దు.
Tom has an earache.,టామ్కు చెవి ఉంది.
We all want to be liked.,మేము అన్ని ఇష్టపడతారు.
Don't talk with your mouth full.,మీ నోటితో పూర్తిగా మాట్లాడకండి.
Tom went fly fishing with his father.,టామ్ తన తండ్రితో ఫ్లై ఫిషింగ్ వెళ్ళాడు.
Tom told Mary to tell the truth.,టోమ్ మేరీకి నిజం చెప్పమని చెప్పాడు.
Tom wants Mary and I to do that by ourselves.,టామ్ మరియు మేరీ దీన్ని మనమే చేయాలనుకుంటున్నారు.
